"id";"sexo";"escala";"puntuacion_cruda";"puntuacion_t"
1209;1;19;25;86
1210;1;19;26;89
1211;1;19;27;93
1212;1;19;28;96
1213;1;20;11;30
1214;1;20;12;33
1215;1;20;13;37
1216;1;20;14;41
1217;1;20;15;44
1218;1;20;16;48
1219;1;20;17;52
1220;1;20;18;56
1221;1;20;19;59
1222;1;20;20;63
1223;1;20;21;67
1224;1;20;22;70
1225;1;20;23;74
1226;1;20;24;78
1227;1;20;25;81
1228;1;21;13;31
1229;1;21;14;33
1230;1;21;15;36
1231;1;21;16;39
1232;1;21;17;42
1233;1;21;18;44
1234;1;21;19;47
1235;1;21;20;50
1236;1;21;21;53
1237;1;21;22;56
1238;1;21;23;58
1239;1;21;24;61
1240;1;21;25;64
1241;1;21;26;67
1242;1;21;27;69
1243;1;21;28;72
1244;1;21;29;75
1245;1;21;30;78
1246;1;22;1;30
1247;1;22;2;32
1248;1;22;3;33
1249;1;22;4;35
1250;1;22;5;36
1251;1;22;6;38
1252;1;22;7;40
1253;1;22;8;41
1254;1;22;9;43
1255;1;22;10;45
1256;1;22;11;46
1257;1;22;12;48
1258;1;22;13;49
1259;1;22;14;51
1260;1;22;15;53
1261;1;22;16;54
1262;1;22;17;56
1263;1;22;18;57
1264;1;22;19;59
1265;1;22;20;61
1266;1;22;21;62
1267;1;22;22;64
1268;1;22;23;65
1269;1;22;24;67
1270;1;22;25;69
1271;1;22;26;70
1272;1;22;27;72
1273;1;22;28;74
1274;1;22;29;75
1275;1;22;30;77
1276;1;22;31;78
1277;1;22;32;80
1278;1;22;33;82
1279;1;22;34;83
1280;1;22;35;85
1281;1;22;36;86
1282;1;22;37;88
1283;1;22;38;90
1284;1;22;39;91
1285;1;22;40;93
1286;1;22;41;95
1287;1;23;28;31
1288;1;23;29;33
1289;1;23;30;35
1290;1;23;31;37
1291;1;23;32;40
1292;1;23;33;42
1293;1;23;34;44
1294;1;23;35;46
1295;1;23;36;48
1296;1;23;37;51
1297;1;23;38;53
1298;1;23;39;55
1299;1;23;40;57
1300;1;23;41;60
1301;1;23;42;62
1302;1;23;43;64
1303;1;23;44;66
1304;1;23;45;68
1305;1;23;46;71
1306;1;23;47;73
1307;1;24;19;30
1308;1;24;20;32
1309;1;24;21;35
1310;1;24;22;37
1311;1;24;23;40
1312;1;24;24;42
1313;1;24;25;44
1314;1;24;26;47
1315;1;24;27;49
1316;1;24;28;52
1317;1;24;29;54
1318;1;24;30;57
1319;1;24;31;59
1320;1;24;32;61
1321;1;24;33;64
1322;1;24;34;66
1323;1;24;35;69
1324;1;24;36;71
1325;1;24;37;74
1326;1;24;38;76
1327;1;24;39;79
1328;1;24;40;81
1329;1;24;41;83
1330;1;24;42;86
1331;1;24;43;88
1332;1;24;44;91
1333;1;24;45;93
1334;1;24;46;96
1335;1;25;0;36
1336;1;25;1;37
1337;1;25;2;39
1338;1;25;3;41
1339;1;25;4;42
1340;1;25;5;44
1341;1;25;6;45
1342;1;25;7;47
